Review_Day,Review_Count,Avg_Rating,Negative_Count,Negative_Rate,Dominant_Category,Rolling_7d_Avg,Flag_Static,Flag_Rolling,Burst_Detected
2023-03-19,1,2.0,1,100.0,Communication,1.0,False,False,False
2023-03-21,1,2.0,1,100.0,Communication,1.0,False,False,False
2023-04-05,1,2.0,1,100.0,Staff,1.0,False,False,False
2023-04-09,1,2.0,1,100.0,Treatment,1.0,False,False,False
2023-04-11,1,5.0,0,0.0,Positive,1.0,False,False,False
2023-04-14,1,1.0,1,100.0,Treatment,1.0,False,False,False
2023-04-16,1,1.0,1,100.0,Treatment,1.0,False,False,False
2023-04-17,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-04-27,1,1.0,1,100.0,Treatment,1.0,False,False,False
2023-05-02,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-05-11,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-05-16,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-05-19,1,5.0,0,0.0,Positive,1.0,False,False,False
2023-05-20,1,3.0,1,100.0,Pricing,1.0,False,False,False
2023-05-28,1,2.0,1,100.0,Staff,1.0,False,False,False
2023-06-07,1,4.0,0,0.0,Positive,1.0,False,False,False
2023-06-08,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-06-13,1,2.0,1,100.0,Staff,1.0,False,False,False
2023-06-14,1,1.0,1,100.0,Treatment,1.0,False,False,False
2023-06-17,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-06-18,1,3.0,0,0.0,Neutral,1.0,False,False,False
2023-06-23,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-06-24,1,3.0,1,100.0,Communication,1.0,False,False,False
2023-06-28,1,5.0,0,0.0,Positive,1.0,False,False,False
2023-07-03,2,2.0,2,100.0,Pricing,1.0,False,False,False
2023-07-04,1,1.0,1,100.0,Treatment,1.14,False,False,False
2023-07-05,1,1.0,1,100.0,Treatment,1.14,False,False,False
2023-07-14,1,5.0,0,0.0,Positive,1.14,False,False,False
2023-07-15,1,4.0,1,100.0,Staff,1.14,False,False,False
2023-07-19,1,2.0,1,100.0,Staff,1.14,False,False,False
2023-07-28,1,2.0,1,100.0,Pricing,1.14,False,False,False
2023-07-30,1,4.0,1,100.0,Communication,1.14,False,False,False
2023-07-31,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-08-02,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-08-07,1,5.0,0,0.0,Positive,1.0,False,False,False
2023-08-09,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-08-10,1,2.0,1,100.0,Communication,1.0,False,False,False
2023-08-11,1,5.0,0,0.0,Positive,1.0,False,False,False
2023-08-16,1,2.0,1,100.0,Communication,1.0,False,False,False
2023-08-18,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-08-20,1,2.0,1,100.0,Pricing,1.0,False,False,False
2023-08-24,2,2.0,2,100.0,Pricing,1.0,False,False,False
2023-08-25,1,3.0,0,0.0,Neutral,1.14,False,False,False
2023-09-01,1,2.0,1,100.0,Pricing,1.14,False,False,False
2023-09-05,1,4.0,1,100.0,Staff,1.14,False,False,False
2023-09-07,1,2.0,1,100.0,Staff,1.14,False,False,False
2023-09-14,2,2.5,1,50.0,Neutral,1.14,False,False,False
2023-09-18,1,1.0,1,100.0,Treatment,1.29,False,False,False
2023-09-21,1,1.0,1,100.0,Treatment,1.29,False,False,False
2023-09-26,1,3.0,1,100.0,Waiting Time,1.14,False,False,False
2023-09-27,1,5.0,0,0.0,Positive,1.14,False,False,False
2023-10-03,1,2.0,1,100.0,Waiting Time,1.14,False,False,False
2023-10-17,1,2.0,1,100.0,Treatment,1.14,False,False,False
2023-10-22,1,2.0,1,100.0,Staff,1.14,False,False,False
2023-11-07,1,1.0,1,100.0,Treatment,1.0,False,False,False
2023-11-09,1,3.0,1,100.0,Staff,1.0,False,False,False
2023-11-12,1,3.0,1,100.0,Communication,1.0,False,False,False
2023-11-14,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2023-12-05,1,2.0,1,100.0,Communication,1.0,False,False,False
2023-12-11,1,2.0,1,100.0,Staff,1.0,False,False,False
2023-12-20,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-01-04,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-01-05,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-01-07,1,3.0,0,0.0,Neutral,1.0,False,False,False
2024-01-08,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-01-14,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-01-16,1,2.0,1,100.0,Treatment,1.0,False,False,False
2024-01-19,1,1.0,1,100.0,Waiting Time,1.0,False,False,False
2024-01-21,1,2.0,1,100.0,Staff,1.0,False,False,False
2024-01-22,1,5.0,0,0.0,Positive,1.0,False,False,False
2024-01-25,1,4.0,1,100.0,Communication,1.0,False,False,False
2024-01-28,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-01-30,1,4.0,1,100.0,Communication,1.0,False,False,False
2024-02-04,1,2.0,1,100.0,Staff,1.0,False,False,False
2024-02-08,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-02-09,1,1.0,1,100.0,Waiting Time,1.0,False,False,False
2024-02-12,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-02-15,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-02-17,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-02-19,2,2.5,1,50.0,Neutral,1.0,False,False,False
2024-02-22,1,2.0,1,100.0,Waiting Time,1.14,False,False,False
2024-02-26,1,1.0,1,100.0,Treatment,1.14,False,False,False
2024-02-28,1,2.0,1,100.0,Staff,1.14,False,False,False
2024-03-05,1,2.0,1,100.0,Treatment,1.14,False,False,False
